label,theme
0,Average percent of time engaged in Helping household adults

0,Total value of shipments and receipts for services of Animal slaughtering and processing

0,Production workers annual hours of Agriculture, construction, and mining machinery manufacturing

0,Average percent of time engaged in by womenGrooming

0,Average percent of time engaged in by menVehicles

1,difference in population density of people whose permanent teeth have been removed because of tooth decay or gum disease

1,Percent change of Under age 18

2,Taxes of governments

3,Asthma

2,Tourist Arrivals

0,Total capital expenditures of Clay product and refractory manufacturing

1,Population density of Catholic

0,Total cost of materials of Other furniture related product manufacturing

0,Production workers average for year of Electrical equipment manufacturing

0,Production workers annual hours of Boiler, tank, and shipping container manufacturing

2,Gross Fixed Capital Formation

3,Soil compaction caused by humans or animals

1,Percent of population of dentist

1,Percent of population of people who changed the job in the past one year

2,Youth Unemployment Rate

2,Social Security Rate For Companies

0,Average hours per day by women spent on Arts and entertainment (other than sports)

0,Annual payroll of Iron and steel mills and ferroalloy manufacturing

0,Total value of shipments and receipts for services of Fabric mills

0,Average hours per day by women spent on Home maintenance, repair, decoration, and construction (not done by self)

0,Average hours per day by women spent on Computer use for leisure, excluding games

0,Average hours per day by men spent on Animals and pets

3,Garbage (Solid Waste)

1,difference in number of people of Muslim

3,Water Temperature

3,Academic Laboratory Wastes

0,Average percent of time engaged in by menHomework and research

2,price of land

2,Job Vacancies

1,Percent change of Hispanic or Latino Origin

0,Production workers annual wages of Other transportation equipment manufacturing,Furniture and related product manufacturing

0,Total cost of materials of Plastics product manufacturing

1,Percent change of All Race

0,Production workers annual hours of Paper manufacturing

2,Full Time Employment

1,number of people of Catholic

0,Average hours per day by women spent on Walking, exercising, and playing with animals

0,Number of employees of Cut and sew apparel manufacturing

1,number of people of people enrolled in College or graduate school

0,Average percent of time engaged in by menParticipating in sports, exercise, and recreation

0,Total capital expenditures of Fabricated metal product manufacturing

0,Average percent of time engaged in by womenHelping household adults

0,Annual payroll of Manufacturing

2,Estimated annual sales for Pharmacies & drug stores

0,Average hours per day by women spent on Volunteering (organizational and civic activities)

0,Number of employees of Animal food manufacturing

1,difference in population density of above age 65

0,Production workers annual hours of Bakeries and tortilla manufacturing

2,GDP from Utilities

1,difference in population density of people living in slums

0,Average percent of time engaged in by womenLeisure and sports

3,area of Emergent Herbaceoous Wetland (km2)

2,Insurance trust revenue of governments

0,Total value of shipments and receipts for services of Printing and related support activities

2,GDP from Mining

0,Production workers annual wages of Textile mills

0,Average percent of time engaged in by womenInterior maintenance, repair, and decoration

0,Production workers annual wages of Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing

1,Percent change of above age 65

1,difference in number of people of Asian

0,Production workers annual hours of Iron and steel mills and ferroalloy manufacturing

1,Percent change of Christian

1,Population density of people enrolled in Nursery school, people enrolled in preschool

1,difference in number of people of people with a bachelor's degree or higher

1,number of people of Muslim

1,Percent of population of people living in slums

0,Number of employees of Apparel manufacturing

1,difference in population density of Christian

0,Average percent of time engaged in by menExterior maintenance, repair, and decoration

1,Percent change of White

1,Percent change of people who are confirm to be infected by 2019-Nov Coronavirus

3,Nitrogen Dioxide (NO2)

0,Total capital expenditures of Electric lighting equipment manufacturing

0,Total cost of materials of Fruit and vegetable preserving and specialty food manufacturing

0,Total value of shipments and receipts for services of Beverage manufacturing

0,Average hours per day by women spent on Caring for nonhousehold adults

1,Percent of population of above age 65

0,Number of employees of Food manufacturing

0,Production workers average for year of Other miscellaneous manufacturing

2,Estimated annual sales for Department stores

0,Average percent of time engaged in Computer use for leisure, excluding games

0,Average percent of time engaged in by menTravel related to purchasing goods and services

2,Government Budget

0,Average hours per day by men spent on Civic obligations and participation

0,Annual payroll of Nonmetallic mineral product manufacturing

0,Production workers annual wages of Printing and related support activities

1,difference in number of people of Under age 18

0,Average hours per day spent on Helping household children with Homework

0,Production workers average for year of Other general purpose machinery manufacturing

1,difference in number of people of people below poverty level

0,Average percent of time engaged in Grocery shopping

0,Number of employees of Semiconductor and other electronic component manufacturing

0,Annual payroll of Pesticide, fertilizer, and other agricultural chemical manufacturing

0,Total cost of materials of Motor vehicle parts manufacturing

0,Average percent of time engaged in by menArts and entertainment (other than sports)

2,arts, entertainment, and recreation revenue

0,Average percent of time engaged in Attending religious services

0,Average percent of time engaged in by womenTravel related to caring for and helping household members

2,Credit Rating

3,nesting information for birds breeding

0,Average percent of time engaged in activities

0,Production workers average for year of Steel product manufacturing from purchased steel

2,Households Debt to GDP

2,Productivity

0,Average hours per day by men spent on Grooming

3,area of Palustrine Emergent Wetland (km2)

0,Production workers annual wages of Nonmetallic mineral product manufacturing

1,Percent of population of People who is infected by HIV

0,Annual payroll of Railroad rolling stock manufacturing

2,GDP from Manufacturing

0,Average hours per day by men spent on Travel related to personal care]

1,difference in population density of  never married

0,Number of employees of Machinery manufacturing

0,Average hours per day by women spent on Travel related to work

0,Average percent of time engaged in by womenFinancial services and banking

0,Average percent of time engaged in Participating in religious practices

0,Average percent of time engaged in Exterior maintenance, repair, and decoration

2,Monthly Wholesale Trade

0,Average hours per day by men spent on Vehicles

0,Annual payroll of Manufacturing and reproducing magnetic and optical media

2,Money Supply

1,number of people of people enrolled in Nursery school, people enrolled in preschool

0,Average hours per day by women spent on Kitchen and food cleanup

1,Percent of population of  people living in poverty areas

2,Social Security Rate For Employees

0,Total cost of materials of Electrical equipment manufacturing

2,median rent price

2,percent of houses with annual income of $300,000 and over

0,Average percent of time engaged in by womenAttending household children events

2,GDP per capita PPP

0,Annual payroll of Motor vehicle parts manufacturing

0,Average percent of time engaged in by menKitchen and food cleanup

0,Total value of shipments and receipts for services of Machine shops; turned product; and screw, nut, and bolt manscrewufacturing

0,Total value of shipments and receipts for services of Apparel manufacturing

1,difference in population density of people who are confirm to be infected by 2019-Nov Coronavirus

0,Production workers annual wages of Miscellaneous manufacturing

0,Total cost of materials of Pharmaceutical and medicine manufacturing

0,Annual payroll of Communications equipment manufacturing

1,difference in population density of people enrolled in High school (grades 9-12)

1,difference in number of people of now married, except separated

0,Number of employees of Glass and glass product manufacturing

0,Total value of shipments and receipts for services of Other leather and allied product manufacturing

2,Wholesale and Retail Inventories

0,Number of employees of Other furniture related product manufacturing

0,Average percent of time engaged in by womenTravel related to education

2,Terms of Trade

0,Average percent of time engaged in Helping nonhousehold adults

1,difference in population density of Asian

1,difference in population density of now married, except separated

3,area of Palustrine Emergent Wetland (Persistent) (km2)

0,Average percent of time engaged in by womenVolunteering (organizational and civic activities)

0,Production workers annual hours of Tobacco manufacturing

0,Average percent of time engaged in Homework and research

0,Production workers annual hours of Motor vehicle manufacturing

2,Outdoor Recreation Value Added as Percent of State GDP

0,Average percent of time engaged in by womenCaring for and helping nonhousehold adults

0,Average percent of time engaged in Grooming

0,Average hours per day by women spent on Purchasing goods and services

0,Total cost of materials of Commercial and service industry machinery manufacturing

2,After-Tax Profits and Sales

0,Average hours per day by men spent on Religious and spiritual activities

0,Average hours per day spent on Relaxing and thinking

0,Total capital expenditures of Bakeries and tortilla manufacturing

3,estimated land cover types

0,Average percent of time engaged in Leisure and sports

0,Average hours per day by women spent on Medical and care services

0,Average percent of time engaged in by womenPlaying games

0,Average percent of time engaged in by womenEducational activities

0,Production workers average for year of Other leather and allied product manufacturing

0,Average percent of time engaged in by menWorking

2,GDP Growth Rate

3,Particulate Matter (PM)

0,Average percent of time engaged in Travel related to purchasing goods and services

2,Sales, value of shipments, or revenue

1,difference in number of people of Native Hawaiian and Other Pacific Islander

0,Average percent of time engaged in by menCaring for and helping nonhousehold children

0,Total value of shipments and receipts for services of Food manufacturing

1,number of people of  people living in poverty areas

0,Total value of shipments and receipts for services of Foundries

2,GDP Deflator

0,Average percent of time engaged in by womenTalking with and listening to household children

3,number of fire points

0,Average hours per day by men spent on Travel related to education

0,Total cost of materials of Machine shops; turned product; and screw, nut, and bolt manscrewufacturing

1,number of people of people enrolled in Kindergarten

1,Percent of population of People whose native language is Russian

0,Average hours per day by women spent on Physical care for household children

0,Number of employees of Electrical equipment manufacturing

0,Production workers average for year of Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing

1,difference in number of people of people who changed the job in the past one year

1,Population density of divorced

0,Average hours per day spent on Household management

2,selected services total revenue

1,Percent of population of Jewish

0,Total capital expenditures of Cement and concrete product manufacturing

0,Total value of shipments and receipts for services of Other fabricated metal product manufacturing

0,Average hours per day spent on Walking, exercising, and playing with animals

1,Population density of widowed

0,Average hours per day by men spent on Computer use for leisure, excluding games

2,Unemployment Rate

2,Median Asking Rent for Vacant for Rent Units

0,Average percent of time engaged in Relaxing and thinking

1,Percent change of people working more than 49 hours per week

0,Average hours per day by men spent on Telephone calls, mail, and e-mail

3,area of Sedge Herbaceous (km2)

0,Production workers average for year of Footwear manufacturing

3,Transportation Emissions

3,Hazardous Air Pollutant Effects

0,Production workers average for year of Communications equipment manufacturing

1,Population density of people below poverty level

0,Average percent of time engaged in by womenOrganizational, civic, and religious activities

0,Average hours per day spent on Watching TV

1,Percent of population of All Race

1,difference in number of people of males 15 years and over

1,difference in number of people of  people living in poverty areas

0,Total capital expenditures of Pulp, paper, and paperboard mills

1,difference in population density of Native Hawaiian and Other Pacific Islander

0,Average percent of time engaged in by womenConsumer goods purchases

0,Total value of shipments and receipts for services of Petroleum and coal products manufacturing

3,Pesticides

0,Annual payroll of Dairy product manufacturing

0,Production workers annual wages of Railroad rolling stock manufacturing

0,Total capital expenditures of Other fabricated metal product manufacturing

0,Average hours per day by men spent on Travel related to leisure and sports

2,Sales Tax Rate

0,Total cost of materials of Railroad rolling stock manufacturing

3,Lead Effects

1,Population density of people with a bachelor's degree or higher

0,Average hours per day by men spent on Travel related to household activities

1,Population density of retailers of personal computer

0,Average hours per day by men spent on Socializing and communicating

0,Average hours per day by women spent on Reading for personal interest

0,Average percent of time engaged in by womenCaring for and helping household adults

0,Average hours per day spent on Playing games

0,Production workers annual wages of Navigational, measuring, electromedical, and control instruments manufacturing

0,Total cost of materials of Alumina and aluminum production and processing

0,Total value of shipments and receipts for services of Beverage and tobacco product manufacturing

0,Average percent of time engaged in by menHousehold management

0,Total cost of materials of Engine, turbine, and power transmission equipment manufacturing

0,Production workers average for year of Ship and boat building

0,Total capital expenditures of Apparel accessories and other apparel manufacturing

